{'192.168.1.4': '-84', '192.168.1.6': '0', '192.168.1.21': '-95', 'location': 'Bedroom'}
{'192.168.1.4': '0', '192.168.1.6': '-83', '192.168.1.21': '-95', 'location': 'Bedroom'}
{'192.168.1.4': '-81', '192.168.1.6': '-74', '192.168.1.21': '-85', 'location': 'Bedroom'}
{'192.168.1.4': '-80', '192.168.1.6': '-84', '192.168.1.21': '-96', 'location': 'Bedroom'}
{'192.168.1.4': '-75', '192.168.1.6': '-72', '192.168.1.21': '-94', 'location': 'Bedroom'}
{'192.168.1.4': '-70', '192.168.1.6': '0', '192.168.1.21': '-84', 'location': 'Bedroom'}
{'192.168.1.4': '-71', '192.168.1.6': '-72', '192.168.1.21': '-86', 'location': 'Bedroom'}
{'192.168.1.4': '-67', '192.168.1.6': '-83', '192.168.1.21': '-81', 'location': 'Bedroom'}
{'192.168.1.4': '-78', '192.168.1.6': '0', '192.168.1.21': '-96', 'location': 'Bedroom'}
{'192.168.1.4': '-62', '192.168.1.6': '-82', '192.168.1.21': '-91', 'location': 'Bedroom'}
{'192.168.1.4': '-62', '192.168.1.6': '-90', '192.168.1.21': '-84', 'location': 'Bedroom'}
{'192.168.1.4': '-62', '192.168.1.6': '-82', '192.168.1.21': '0', 'location': 'Bedroom'}
{'192.168.1.4': '-100', '192.168.1.6': '-53', '192.168.1.21': '0', 'location': 'Growroom'}
{'192.168.1.4': '0', '192.168.1.6': '-68', '192.168.1.21': '-52', 'location': 'Growroom'}
{'192.168.1.4': '-88', '192.168.1.6': '-67', '192.168.1.21': '-71', 'location': 'Growroom'}
{'192.168.1.4': '-88', '192.168.1.6': '-53', '192.168.1.21': '-71', 'location': 'Growroom'}
{'192.168.1.4': '0', '192.168.1.6': '-66', '192.168.1.21': '-54', 'location': 'Growroom'}
{'192.168.1.4': '-100', '192.168.1.6': '-53', '192.168.1.21': '-54', 'location': 'Growroom'}
{'192.168.1.4': '0', '192.168.1.6': '-68', '192.168.1.21': '-71', 'location': 'Growroom'}
{'192.168.1.4': '-92', '192.168.1.6': '-54', '192.168.1.21': '-51', 'location': 'Growroom'}
{'192.168.1.4': '0', '192.168.1.6': '-53', '192.168.1.21': '-54', 'location': 'Growroom'}
{'192.168.1.4': '-78', '192.168.1.6': '-81', '192.168.1.21': '-75', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '0', '192.168.1.21': '-76', 'location': 'Desk'}
{'192.168.1.4': '-81', '192.168.1.6': '-83', '192.168.1.21': '-79', 'location': 'Desk'}
{'192.168.1.4': '-92', '192.168.1.6': '-66', '192.168.1.21': '-74', 'location': 'Desk'}
{'192.168.1.4': '-92', '192.168.1.6': '-68', '192.168.1.21': '-62', 'location': 'Desk'}
{'192.168.1.4': '-79', '192.168.1.6': '-81', '192.168.1.21': '-63', 'location': 'Desk'}
{'192.168.1.4': '-94', '192.168.1.6': '0', '192.168.1.21': '-76', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-82', '192.168.1.21': '-64', 'location': 'Desk'}
{'192.168.1.4': '-102', '192.168.1.6': '-73', '192.168.1.21': '-74', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-68', '192.168.1.21': '-74', 'location': 'Desk'}
{'192.168.1.4': '-81', '192.168.1.6': '-76', '192.168.1.21': '-67', 'location': 'Desk'}
{'192.168.1.4': '-92', '192.168.1.6': '-80', '192.168.1.21': '-77', 'location': 'Desk'}
{'192.168.1.4': '-94', '192.168.1.6': '-73', '192.168.1.21': '-78', 'location': 'Desk'}
{'192.168.1.4': '-81', '192.168.1.6': '-65', '192.168.1.21': '-87', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-69', '192.168.1.21': '-73', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-84', '192.168.1.21': '-62', 'location': 'Desk'}
{'192.168.1.4': '-74', '192.168.1.6': '-69', '192.168.1.21': '-87', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '0', '192.168.1.21': '-76', 'location': 'Desk'}
{'192.168.1.4': '-104', '192.168.1.6': '-80', '192.168.1.21': '0', 'location': 'Desk'}
{'192.168.1.4': '-92', '192.168.1.6': '-74', '192.168.1.21': '-86', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-86', '192.168.1.21': '0', 'location': 'Desk'}
{'192.168.1.4': '-93', '192.168.1.6': '-71', '192.168.1.21': '-61', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-72', '192.168.1.21': '-76', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-77', '192.168.1.21': '-80', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-74', '192.168.1.21': '-79', 'location': 'Desk'}
{'192.168.1.4': '-78', '192.168.1.6': '-68', '192.168.1.21': '-66', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-69', '192.168.1.21': '-86', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '0', '192.168.1.21': '-78', 'location': 'Desk'}
{'192.168.1.4': '-75', '192.168.1.6': '-81', '192.168.1.21': '-62', 'location': 'Desk'}
{'192.168.1.4': '-94', '192.168.1.6': '-85', '192.168.1.21': '-75', 'location': 'Desk'}
{'192.168.1.4': '-94', '192.168.1.6': '-87', '192.168.1.21': '-77', 'location': 'Desk'}
{'192.168.1.4': '-75', '192.168.1.6': '-83', '192.168.1.21': '-78', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-86', '192.168.1.21': '-61', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-82', '192.168.1.21': '-78', 'location': 'Desk'}
{'192.168.1.4': '-91', '192.168.1.6': '-70', '192.168.1.21': '-87', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-83', '192.168.1.21': '0', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-82', '192.168.1.21': '-61', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-75', '192.168.1.21': '-70', 'location': 'Desk'}
{'192.168.1.4': '-92', '192.168.1.6': '-74', '192.168.1.21': '-75', 'location': 'Desk'}
{'192.168.1.4': '-91', '192.168.1.6': '0', '192.168.1.21': '-92', 'location': 'Desk'}
{'192.168.1.4': '-72', '192.168.1.6': '0', '192.168.1.21': '-80', 'location': 'Garage'}
{'192.168.1.4': '-58', '192.168.1.6': '-80', '192.168.1.21': '-81', 'location': 'Garage'}
{'192.168.1.4': '-74', '192.168.1.6': '-98', '192.168.1.21': '0', 'location': 'Garage'}
{'192.168.1.4': '0', '192.168.1.6': '-94', '192.168.1.21': '-81', 'location': 'Garage'}
{'192.168.1.4': '-70', '192.168.1.6': '0', '192.168.1.21': '-91', 'location': 'Garage'}
{'192.168.1.4': '-59', '192.168.1.6': '-81', '192.168.1.21': '-93', 'location': 'Garage'}
{'192.168.1.4': '-56', '192.168.1.6': '0', '192.168.1.21': '-91', 'location': 'Garage'}
{'192.168.1.4': '-70', '192.168.1.6': '-80', '192.168.1.21': '0', 'location': 'Garage'}
{'192.168.1.4': '-95', '192.168.1.6': '-71', '192.168.1.21': '0', 'location': 'Kitchen'}
{'192.168.1.4': '0', '192.168.1.6': '-94', '192.168.1.21': '-62', 'location': 'Kitchen'}
{'192.168.1.4': '-90', '192.168.1.6': '-59', '192.168.1.21': '-56', 'location': 'Kitchen'}
{'192.168.1.4': '0', '192.168.1.6': '0', '192.168.1.21': '-41', 'location': 'Kitchen'}
{'192.168.1.4': '0', '192.168.1.6': '-59', '192.168.1.21': '0', 'location': 'Kitchen'}
{'192.168.1.4': '-95', '192.168.1.6': '-73', '192.168.1.21': '0', 'location': 'Kitchen'}
{'192.168.1.4': '-84', '192.168.1.6': '-59', '192.168.1.21': '-56', 'location': 'Kitchen'}
{'192.168.1.4': '0', '192.168.1.6': '-58', '192.168.1.21': '-62', 'location': 'Kitchen'}
{'192.168.1.4': '0', '192.168.1.6': '-58', '192.168.1.21': '-47', 'location': 'Kitchen'}
{'192.168.1.4': '-87', '192.168.1.6': '-72', '192.168.1.21': '-42', 'location': 'Kitchen'}
{'192.168.1.4': '-98', '192.168.1.6': '-66', '192.168.1.21': '-62', 'location': 'Kitchen'}
{'192.168.1.4': '-96', '192.168.1.6': '-78', '192.168.1.21': '-62', 'location': 'Kitchen'}
{'192.168.1.4': '-96', '192.168.1.6': '-71', '192.168.1.21': '0', 'location': 'Kitchen'}
{'192.168.1.4': '-85', '192.168.1.6': '-76', '192.168.1.21': '-62', 'location': 'Kitchen'}
{'192.168.1.4': '0', '192.168.1.6': '-78', '192.168.1.21': '-41', 'location': 'Kitchen'}
{'192.168.1.4': '0', '192.168.1.6': '-81', '192.168.1.21': '-72', 'location': 'Desk'}
{'192.168.1.4': '-90', '192.168.1.6': '-75', '192.168.1.21': '0', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-89', '192.168.1.21': '-75', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-69', '192.168.1.21': '-62', 'location': 'Desk'}
{'192.168.1.4': '-96', '192.168.1.6': '0', '192.168.1.21': '0', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-69', '192.168.1.21': '-73', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-74', '192.168.1.21': '-61', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-84', '192.168.1.21': '-59', 'location': 'Desk'}
{'192.168.1.4': '-94', '192.168.1.6': '-75', '192.168.1.21': '-72', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-82', '192.168.1.21': '-61', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-80', '192.168.1.21': '-64', 'location': 'Desk'}
{'192.168.1.4': '-85', '192.168.1.6': '-68', '192.168.1.21': '-59', 'location': 'Desk'}
{'192.168.1.4': '-93', '192.168.1.6': '-82', '192.168.1.21': '-62', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '0', '192.168.1.21': '0', 'location': 'Desk'}
{'192.168.1.4': '-85', '192.168.1.6': '-84', '192.168.1.21': '0', 'location': 'Desk'}
{'192.168.1.4': '-96', '192.168.1.6': '0', '192.168.1.21': '-59', 'location': 'Desk'}
{'192.168.1.4': '0', '192.168.1.6': '-81', '192.168.1.21': '-73', 'location': 'Desk'}
